annee,saison,province,culture,altitude_m,pluviometrie_mm,temperature_moy_C,superficie_ha,utilisation_engrais,acces_irrigation,nb_menages,rendement_t_ha,production_totale_t,bonne_recolte
2015,A,Bujumbura Rural,Maïs,881,,23.9,1.33,1,1,154,2.14,2.85,1
2015,A,Bujumbura Rural,Haricot,803,955.4,22.1,3.25,0,0,16,0.64,2.08,1
2015,A,Bujumbura Rural,Manioc,835,1060.3,24.9,1.71,1,1,103,13.38,22.88,1
2015,A,Bujumbura Rural,Patate douce,848,760.3,23.8,2.94,0,1,64,6.94,20.4,1
2015,A,Bujumbura Rural,Sorgho,837,1126.8,23.1,3.94,0,0,56,0.89,3.51,1
2015,A,Bujumbura Rural,Bananier,877,953.8,22.4,1.33,0,1,178,7.48,9.95,1
2015,A,Gitega,Maïs,1788,953.5,19.5,0.43,1,0,69,2.15,0.92,1
2015,A,Gitega,Haricot,1772,858.0,19.5,1.34,0,0,164,0.84,1.13,1
2015,A,Gitega,Manioc,1707,883.1,20.3,0.5,1,0,123,10.96,5.48,1
2015,A,Gitega,Patate douce,1760,870.7,20.2,3.33,0,0,83,5.87,19.55,1
2015,A,Gitega,Sorgho,1710,650.4,20.9,3.98,1,0,60,1.23,4.9,1
2015,A,Gitega,Bananier,1715,933.0,21.1,2.57,0,0,15,7.59,19.51,1
2015,A,Ngozi,Maïs,1646,1096.2,19.5,1.59,1,0,35,2.26,3.59,1
2015,A,Ngozi,Haricot,1616,1001.8,19.6,0.99,0,0,69,0.71,0.7,1
2015,A,Ngozi,Manioc,1691,,22.8,3.03,0,0,45,8.0,24.24,1
2015,A,Ngozi,Patate douce,1600,973.6,21.7,1.26,0,0,33,6.5,8.19,1
2015,A,Ngozi,Sorgho,1669,1122.8,21.8,2.7,0,0,119,1.18,3.19,1
2015,A,Ngozi,Bananier,1693,985.1,21.5,3.01,1,0,42,9.4,28.29,1
2015,A,Muyinga,Maïs,1504,979.5,21.8,3.97,,0,155,2.15,8.54,1
2015,A,Muyinga,Haricot,1546,1027.9,21.1,2.34,,0,30,1.15,2.69,1
2015,A,Muyinga,Manioc,1550,949.0,20.2,3.23,0,0,139,9.42,30.43,1
2015,A,Muyinga,Patate douce,1545,1010.5,20.8,2.3,0,0,29,6.47,14.88,1
